carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.72,2,4,7,62.2,57.0,5.72,5.75,3.57,3402.0
0.83,4,6,3,63.5,58.0,5.93,5.98,3.78,3214.8
1.04,2,3,3,61.9,57.0,6.49,6.46,4.01,5015.4
0.71,4,6,4,59.9,59.0,5.77,5.81,3.47,2489.8
0.43,2,5,3,61.3,56.0,4.9,4.86,2.99,790.0
0.33,2,6,4,61.3,55.0,4.46,4.48,2.74,803.2
1.72,1,7,2,64.6,58.0,7.53,7.46,4.84,9776.2
1.13,2,4,3,61.8,55.0,6.71,6.75,4.16,5717.6
0.52,2,7,3,62.4,56.0,5.12,5.17,3.21,1645.6
0.3,4,4,5,62.5,55.0,4.25,4.32,2.68,588.4
1.53,5,4,5,61.0,60.0,7.43,7.4,4.52,13155.2
2.02,1,3,2,56.5,61.0,8.33,8.37,4.72,9638.8
0.33,5,3,5,61.0,59.0,4.5,4.45,2.73,636.4
0.7,4,4,1,61.5,63.0,5.73,5.65,3.5,2639.0
1.26,5,2,3,60.5,62.0,6.97,6.92,4.2,4473.2
0.3,5,7,4,62.5,59.0,4.28,4.23,2.66,923.8
0.59,4,3,5,62.1,55.0,5.37,5.41,3.35,2078.4
0.82,2,6,3,62.1,55.0,5.98,6.0,3.72,3615.4
0.39,4,4,6,60.7,61.0,4.7,4.73,2.86,1205.2
0.31,2,3,8,62.1,54.0,4.33,4.37,2.7,855.2
1.26,2,2,2,62.0,56.0,7.0,6.94,4.32,5318.4
1.51,4,5,2,62.7,60.0,7.25,7.32,4.57,9720.8
0.56,2,4,5,60.6,56.0,5.33,5.36,3.24,1804.8
0.31,2,4,7,62.5,55.0,4.34,4.33,2.71,814.6
0.56,2,3,6,60.9,57.0,5.38,5.33,3.26,1968.8
0.96,5,6,2,58.2,58.0,6.52,6.47,3.78,4167.6
0.52,4,6,3,62.7,57.0,5.1,5.14,3.21,1176.8
1.02,4,3,3,63.5,55.0,6.31,6.35,4.02,4476.0
1.06,3,2,5,57.5,62.0,6.71,6.83,3.9,4497.4
1.21,2,3,3,62.1,59.0,6.81,6.75,4.21,6588.8
2.02,1,3,4,64.5,57.0,8.0,7.95,5.14,14492.6
1.52,2,4,4,62.1,56.0,7.39,7.34,4.57,12710.8
2.03,4,2,2,62.8,59.0,8.04,8.08,5.06,12468.8
0.28,3,5,6,61.2,62.0,4.16,4.21,2.56,609.8
0.7,1,4,5,65.8,61.0,5.61,5.46,3.64,2920.8
0.7,2,4,7,62.3,57.0,5.61,5.65,3.51,2865.6
2.32,1,3,1,70.5,55.0,7.93,7.9,5.58,7659.0
0.58,2,1,4,60.9,57.0,5.38,5.4,3.28,1408.4
0.54,2,7,5,61.6,54.0,5.24,5.25,3.23,1634.6
1.2,4,2,3,62.9,54.0,6.75,6.77,4.25,4773.4
0.52,4,5,4,62.4,57.0,5.12,5.13,3.2,1447.6
1.57,5,5,2,60.2,60.0,7.49,7.43,4.49,8131.2
0.7,5,2,1,62.3,58.0,5.69,5.55,3.51,1975.2
1.57,4,3,3,62.0,60.0,7.4,7.44,4.6,9270.8
1.02,4,7,4,63.2,58.0,6.4,6.36,4.03,6968.8
1.5,5,5,4,62.4,57.0,7.38,7.29,4.58,13785.2
0.7,4,6,5,62.7,60.0,5.59,5.64,3.52,3337.0
0.42,5,5,3,60.6,58.0,4.89,4.81,2.94,1021.4
2.01,5,3,3,60.0,60.0,8.16,8.13,4.89,14988.2
0.31,5,4,5,62.2,58.0,4.38,4.34,2.71,733.0
0.44,2,6,6,61.9,56.0,4.91,4.88,3.03,1288.4
0.7,2,7,6,61.7,55.0,5.73,5.75,3.54,3875.6
1.2,5,1,3,60.0,61.0,6.89,6.84,4.12,4568.0
1.05,2,4,5,62.2,57.0,6.49,6.51,4.04,7020.4
0.7,2,5,1,62.1,57.0,5.67,5.64,3.52,2317.6
0.53,5,5,3,60.9,59.0,5.21,5.23,3.18,1468.8
1.09,5,3,2,61.2,62.0,6.63,6.58,4.04,4666.0
0.92,5,6,2,61.8,59.0,6.19,6.11,3.8,3912.6
0.71,5,5,4,58.0,62.0,5.85,5.81,3.38,2289.0
0.57,3,5,2,61.9,57.7,5.32,5.34,3.3,1736.2
0.71,4,4,4,63.5,59.0,5.67,5.63,3.59,2645.6
0.89,5,4,3,61.1,58.0,6.24,6.17,3.79,4370.2
1.06,2,4,3,62.9,56.0,6.52,6.49,4.09,5188.4
0.86,5,3,2,61.0,58.0,6.15,6.12,3.74,2639.8
1.1,5,4,4,60.2,58.0,6.75,6.71,4.05,6090.8
0.7,2,6,3,62.5,57.0,5.7,5.72,3.57,2698.6
1.04,5,4,5,61.5,61.0,6.56,6.51,4.02,7101.2
0.93,5,6,1,62.3,60.0,6.23,6.2,3.87,3409.8
1.1,5,5,1,59.8,61.0,6.7,6.65,3.99,3810.8
2.12,5,3,2,62.3,58.0,8.25,8.16,5.12,15755.6
0.33,2,5,7,62.4,55.0,4.44,4.47,2.78,949.2
0.9,1,2,4,65.8,55.0,6.05,6.01,3.97,2884.0
0.71,2,6,5,62.0,57.0,5.72,5.66,3.53,3092.8
1.75,2,4,4,62.1,57.0,7.73,7.69,4.79,15603.2
0.81,2,3,3,61.4,56.0,6.0,6.05,3.7,3041.2
0.75,3,2,7,63.9,61.0,5.7,5.67,3.63,4214.4
0.4,2,4,4,62.6,56.0,4.69,4.74,2.95,920.6
0.34,2,4,4,62.1,55.0,4.49,4.46,2.78,641.4
0.35,5,5,4,61.8,58.0,4.48,4.52,2.78,844.2
1.29,4,2,4,62.8,58.0,6.89,6.93,4.34,6246.6
1.7,5,4,3,61.7,58.0,7.69,7.6,4.72,10893.4
1.01,5,5,3,62.7,54.0,6.42,6.37,4.01,4639.4
0.47,3,7,3,63.8,59.0,4.9,4.88,3.12,1395.6
0.71,5,6,3,59.2,59.0,5.86,5.83,3.46,1596.2
1.01,2,4,5,61.3,56.0,6.49,6.44,3.96,7303.4
0.92,3,1,2,59.0,63.0,6.3,6.35,3.73,2956.2
0.31,2,5,7,61.6,55.0,4.36,4.41,2.7,856.4
0.3,2,4,7,61.3,56.0,4.3,4.34,2.65,851.2
0.7,4,4,3,62.1,58.0,5.66,5.7,3.53,2191.8
1.01,5,3,8,62.1,59.0,6.47,6.41,4.0,7752.4
1.5,4,3,2,62.5,60.0,7.25,7.32,4.55,7153.6
0.9,4,7,5,62.2,58.0,6.14,6.18,3.83,4049.6
0.23,3,5,6,62.8,61.0,3.92,3.95,2.47,601.8
0.25,3,6,6,58.0,65.0,4.13,4.18,2.41,1579.8
0.35,2,5,6,62.1,56.0,4.56,4.52,2.82,870.2
0.73,4,7,2,60.4,59.0,5.8,5.86,3.52,2980.6
0.4,4,4,8,61.2,57.0,4.77,4.79,2.92,1238.0
0.3,2,6,4,61.5,55.0,4.33,4.29,2.65,769.6
1.01,5,1,6,62.7,59.0,6.46,6.39,4.03,5513.2
0.51,2,7,2,62.5,55.0,5.12,5.15,3.21,1097.8
1.72,5,5,1,60.1,58.0,7.77,7.74,4.66,9286.4
0.51,3,6,3,64.3,54.0,5.1,5.07,3.27,1406.0
0.7,2,6,5,62.2,58.0,5.67,5.71,3.54,2833.4
0.52,3,3,4,63.6,57.0,5.05,5.1,3.23,774.4
1.01,5,5,2,62.2,59.0,6.41,6.38,3.98,4411.2
0.31,2,5,4,62.1,57.0,4.34,4.36,2.7,749.8
1.01,3,4,3,63.6,57.0,6.33,6.37,4.04,4686.6
1.24,3,6,3,63.5,55.0,6.82,6.86,4.35,5472.4
1.01,4,2,3,60.1,59.0,6.44,6.47,3.88,4498.4
1.05,2,4,4,61.9,57.0,6.47,6.51,4.03,6332.4
0.9,3,4,3,63.7,60.0,6.11,6.07,3.88,4653.8
0.56,2,6,4,61.6,57.0,5.3,5.32,3.27,1789.2
0.8,4,5,3,61.6,56.0,5.96,6.0,3.68,3053.4
0.3,2,7,3,62.5,57.0,4.32,4.29,2.69,659.2
0.76,2,3,4,62.7,57.0,5.82,5.86,3.66,3053.4
1.21,5,3,3,59.8,58.0,6.95,6.9,4.14,6004.2
1.51,4,1,5,61.4,57.0,7.3,7.38,4.51,9024.4
1.21,2,3,6,61.3,56.0,6.85,6.89,4.21,8612.8
0.7,2,5,3,61.5,57.0,5.67,5.74,3.51,2571.2
0.53,2,2,4,62.2,56.0,5.15,5.2,3.22,1239.0
0.46,2,6,5,61.9,55.0,4.94,4.97,3.06,1418.2
0.41,2,4,8,61.7,56.0,4.79,4.81,2.96,1371.0
0.37,4,5,4,61.0,58.0,4.61,4.63,2.82,632.6
0.58,2,5,2,60.9,57.0,5.4,5.44,3.3,1154.0
0.72,5,5,3,59.5,62.0,5.85,5.74,3.45,2601.6
1.5,3,4,3,58.4,65.0,7.45,7.41,4.34,10208.8
1.31,4,3,4,61.4,59.0,6.96,7.01,4.29,7470.4
1.0,4,7,3,62.1,58.0,6.34,6.45,3.97,5261.4
0.41,5,4,7,60.3,60.0,4.78,4.74,2.87,999.0
0.38,2,5,7,61.0,57.0,4.67,4.71,2.86,1035.4
0.35,5,6,7,60.7,59.0,4.58,4.55,2.77,1013.6
0.3,5,7,4,61.7,58.0,4.32,4.3,2.66,778.4
1.13,2,2,5,61.6,54.0,6.72,6.74,4.15,6312.4
0.37,5,6,6,60.9,59.0,4.61,4.65,2.82,1092.4
0.39,5,4,6,60.7,61.0,4.73,4.7,2.86,1393.0
0.5,3,7,3,63.9,56.0,5.02,4.93,3.18,1350.8
0.31,2,6,4,61.5,56.0,4.39,4.42,2.71,790.8
1.72,3,7,2,63.4,62.0,7.53,7.59,4.79,10100.4
1.27,2,3,3,59.8,57.0,7.08,7.01,4.22,5862.2
1.0,3,7,4,62.8,61.0,6.31,6.34,3.97,6284.6
1.59,5,2,4,59.9,60.0,7.61,7.57,4.55,9978.6
0.38,4,5,4,60.9,56.0,4.67,4.72,2.86,1167.6
2.39,2,1,5,62.1,57.0,8.53,8.57,5.31,16718.4
1.01,5,5,3,62.2,59.0,6.36,6.41,3.97,4968.4
0.31,5,3,7,62.6,58.0,4.33,4.29,2.7,772.6
2.05,2,1,5,61.8,58.0,8.12,8.16,5.03,16164.8
0.7,3,5,3,61.1,61.0,5.68,5.71,3.48,2116.4
1.01,1,2,1,56.1,63.0,6.7,6.65,3.74,3650.0
1.55,4,3,4,63.3,56.0,7.38,7.32,4.65,9902.6
0.33,5,6,7,59.7,58.0,4.49,4.52,2.69,1338.6
1.51,5,6,3,62.9,62.0,7.31,7.21,4.57,9383.2
0.26,4,7,6,59.1,59.0,4.21,4.28,2.51,734.0
1.01,5,7,3,59.8,54.0,6.6,6.5,3.93,4208.8
0.42,4,7,3,60.2,57.0,4.85,4.89,2.93,661.8
1.03,5,3,1,62.9,59.0,6.41,6.3,4.0,3178.4
1.57,2,2,2,62.6,58.0,7.38,7.41,4.63,7918.0
1.01,4,4,5,63.1,55.0,6.34,6.37,4.01,5662.0
2.51,5,1,2,59.3,58.0,8.87,8.83,5.25,15345.6
0.7,4,7,3,63.2,55.0,5.62,5.65,3.56,2039.6
0.95,2,4,4,61.6,56.0,6.34,6.3,3.89,6019.6
0.32,2,6,2,62.7,55.0,4.39,4.42,2.76,748.6
1.25,5,1,2,62.3,59.0,6.82,6.86,4.26,4297.8
2.26,5,2,2,62.0,58.0,8.4,8.37,5.2,13902.8
0.28,2,4,8,60.9,57.0,4.24,4.27,2.59,893.6
1.52,2,2,3,61.4,57.0,7.4,7.43,4.55,8604.4
0.4,3,7,5,56.3,59.0,4.94,4.97,2.79,1463.6
1.7,4,5,2,63.4,57.0,7.54,7.57,4.79,8944.2
2.01,3,1,2,63.4,59.0,7.95,7.99,5.05,10645.6
0.3,2,7,4,62.2,54.0,4.31,4.28,2.67,841.6
0.55,4,6,4,61.6,60.0,5.23,5.27,3.23,1747.2
0.33,5,6,7,59.7,58.0,4.52,4.49,2.69,1338.6
1.16,2,4,6,62.0,56.0,6.75,6.71,4.17,9325.2
1.51,4,1,3,62.9,59.0,7.25,7.29,4.57,7380.0
0.29,2,5,5,61.6,56.0,4.26,4.31,2.64,666.0
0.7,4,6,5,63.4,57.0,5.63,5.67,3.58,3128.8
0.39,5,3,2,61.2,58.0,4.51,6.02,4.44,607.2
0.52,2,6,4,61.2,56.0,5.2,5.16,3.17,1761.0
2.17,5,3,3,59.9,61.0,8.39,8.38,5.02,13722.6
1.37,2,3,5,63.8,56.0,7.01,6.98,4.46,7215.0
0.3,4,5,7,61.0,57.0,4.33,4.36,2.65,875.8
1.06,5,7,2,61.6,61.0,6.59,6.53,4.04,4639.4
0.32,2,6,7,60.9,57.0,4.42,4.45,2.7,956.2
0.32,5,4,4,61.0,59.0,4.42,4.46,2.71,669.8
0.2,5,7,4,61.7,60.0,3.77,3.72,2.31,616.8
0.7,2,3,4,61.1,57.0,5.71,5.74,3.5,2270.8
0.53,2,6,5,61.5,57.0,5.22,5.25,3.22,2131.8
0.71,2,2,7,62.4,55.0,5.69,5.76,3.57,2471.0
1.16,2,4,7,61.9,55.0,6.75,6.78,4.19,10206.4
1.01,5,6,3,59.2,60.0,6.56,6.51,3.87,5231.2
0.4,2,4,6,62.6,53.0,4.72,4.77,2.97,737.2
1.51,3,5,2,62.9,55.0,7.22,7.28,4.56,8326.4
1.04,4,2,2,61.6,58.0,6.47,6.58,4.02,4095.2
0.37,2,2,3,60.7,60.0,4.6,4.62,2.8,743.6
0.37,5,5,4,60.5,59.0,4.62,4.67,2.81,875.6
0.64,3,3,5,61.8,60.3,5.47,5.53,3.4,2759.2
2.01,4,2,3,60.8,60.0,8.12,8.15,4.95,14848.8
1.29,2,4,4,62.5,57.0,6.89,6.92,4.35,8251.6
1.01,4,4,6,63.4,55.0,6.41,6.34,4.04,6692.0
2.01,5,3,3,62.7,59.0,8.08,8.03,5.05,16504.0
0.51,4,1,3,63.3,56.0,5.12,5.02,3.21,943.6
0.53,4,6,4,63.5,59.0,5.17,5.13,3.27,1880.4
1.01,4,4,4,63.0,56.0,6.35,6.41,4.02,5633.2
0.31,5,6,7,62.0,59.0,4.34,4.3,2.68,875.8
0.36,2,4,7,60.0,56.0,4.66,4.69,2.81,996.0
0.31,5,3,5,61.4,61.0,4.36,4.33,2.67,675.0
0.77,5,4,6,60.8,59.0,5.96,5.92,3.61,4438.4
1.5,5,3,3,61.0,60.0,7.33,7.27,4.45,9964.8
0.45,4,6,2,63.2,54.0,4.94,4.82,3.09,1434.0
0.57,2,5,2,62.2,53.0,5.34,5.4,3.34,901.0
1.01,3,2,2,61.8,62.0,6.28,6.35,3.9,3811.6
0.71,1,4,2,65.6,61.0,5.46,5.37,3.55,2587.6
0.72,2,3,2,61.8,55.0,5.79,5.76,3.57,1622.0
0.55,2,3,8,61.9,56.0,5.26,5.34,3.26,1979.6
1.01,3,5,3,63.5,59.0,6.3,6.39,4.03,5140.6
0.32,5,3,5,61.6,59.0,4.37,4.39,2.7,687.0
0.94,5,6,2,62.4,58.0,6.33,6.26,3.93,4050.8
1.13,2,5,5,60.9,57.0,6.73,6.76,4.11,8180.2
0.6,3,6,5,58.1,63.0,5.53,5.63,3.24,1919.0
1.01,2,7,3,61.2,57.0,6.44,6.47,3.95,5502.4
0.52,4,2,6,61.9,56.0,5.16,5.18,3.2,600.6
0.3,2,3,8,62.2,54.0,4.34,4.37,2.71,840.4
0.42,5,4,3,61.7,58.0,4.8,4.76,2.95,717.6
0.33,2,4,8,61.7,55.0,4.45,4.47,2.75,993.4
0.33,5,3,8,61.7,59.0,4.45,4.43,2.74,943.6
0.52,5,4,6,61.2,59.0,5.14,5.16,3.15,1941.6
1.07,2,4,8,61.5,57.0,6.59,6.54,4.04,9562.0
0.43,5,4,7,60.9,58.0,4.88,4.91,2.98,1166.4
0.51,2,6,5,60.9,56.0,5.16,5.22,3.16,1995.8
0.3,5,3,6,61.0,61.0,4.32,4.3,2.63,946.8
0.31,2,6,5,61.8,56.0,4.33,4.34,2.68,822.6
0.4,2,2,5,61.2,56.0,4.76,4.82,2.93,634.4
0.7,5,7,3,58.8,59.0,5.86,5.84,3.44,2770.8
1.2,2,1,2,62.5,57.0,6.8,6.74,4.23,4628.6
0.33,5,3,5,61.5,58.0,4.39,4.46,2.72,745.4
0.74,3,3,4,57.5,57.0,5.94,6.01,3.44,3159.8
0.42,2,5,7,62.0,55.0,4.8,4.84,2.99,1344.8
0.41,2,4,5,61.6,57.0,4.77,4.74,2.93,876.2
0.39,2,5,5,62.3,57.0,4.65,4.69,2.91,958.0
1.5,4,3,3,62.9,57.0,7.24,7.28,4.57,8210.0
0.33,2,6,4,61.5,55.0,4.47,4.5,2.76,805.4
1.0,2,4,2,62.8,57.0,6.37,6.31,3.98,4233.6
1.23,5,4,4,61.6,58.0,6.91,6.85,4.24,8551.4
0.71,2,4,6,61.5,57.0,5.73,5.75,3.53,3617.2
0.5,5,4,3,62.2,60.0,5.07,5.03,3.14,1281.2
0.36,2,6,6,61.9,55.0,4.57,4.61,2.84,928.0
0.34,2,5,7,61.7,55.0,4.51,4.5,2.78,936.2
0.72,2,6,2,62.3,54.0,5.75,5.78,3.59,2852.6
1.24,2,3,2,59.5,61.0,6.98,7.03,4.17,4967.8
0.43,5,5,7,60.3,58.0,4.88,4.91,2.95,1332.6
0.9,5,2,4,61.8,59.0,6.15,6.21,3.82,3207.0
1.11,5,7,1,61.9,58.0,6.63,6.66,4.11,3796.4
0.52,4,6,4,62.3,57.0,5.1,5.17,3.2,1420.4
1.05,4,6,3,62.2,56.0,6.49,6.56,4.06,5176.2
